"species","kingdom","phylum","class","order"
"Plantago lanceolata","Plantae",NA,NA,NA
"Plantago major","Plantae",NA,NA,NA
"Plantago media","Plantae",NA,NA,NA
"Poa angustifolia","Plantae",NA,NA,NA
"Poa nemoralis","Plantae",NA,NA,NA
"Poa pratensis","Plantae",NA,NA,NA
"Poa trivialis","Plantae",NA,NA,NA
"Polygala calcarea","Plantae",NA,NA,NA
"Polygala serpyllifolia","Plantae",NA,NA,NA
"Polygala vulgaris","Plantae",NA,NA,NA
"Polygonum aviculare","Plantae",NA,NA,NA
"Populus canescens","Plantae",NA,NA,NA
"Populus nigra","Plantae",NA,NA,NA
"Populus tremula","Plantae",NA,NA,NA
"Potentilla anserina","Plantae",NA,NA,NA
"Potentilla erecta","Plantae",NA,NA,NA
"Potentilla reptans","Plantae",NA,NA,NA
"Potentilla sterilis","Plantae",NA,NA,NA
"Primula veris","Plantae",NA,NA,NA
"Primula vulgaris","Plantae",NA,NA,NA
"Prunella vulgaris","Plantae",NA,NA,NA
"Prunus avium","Plantae",NA,NA,NA
"Prunus cerasifera","Plantae",NA,NA,NA
"Prunus spinosa","Plantae",NA,NA,NA
"Pseudofumaria lutea","Plantae",NA,NA,NA
"Pteridium aquilinum","Plantae",NA,NA,NA
"Pulicaria dysenterica","Plantae",NA,NA,NA
"Pyrus communis","Plantae",NA,NA,NA
"Ranunculus acris","Plantae",NA,NA,NA
"Ranunculus auricomus","Plantae",NA,NA,NA
"Ranunculus bulbosus","Plantae",NA,NA,NA
"Ranunculus ficaria","Plantae",NA,NA,NA
"Ranunculus repens","Plantae",NA,NA,NA
"Reseda lutea","Plantae",NA,NA,NA
"Reseda luteola","Plantae",NA,NA,NA
"Rhamnus cathartica","Plantae",NA,NA,NA
"Rhinanthus minor","Plantae",NA,NA,NA
"Ribes nigrum","Plantae",NA,NA,NA
"Ribes rubrum","Plantae",NA,NA,NA
"Ribes uva-crispa","Plantae",NA,NA,NA
"Rorippa amphibia","Plantae",NA,NA,NA
"Rorippa nasturtium-aquaticum","Plantae",NA,NA,NA
"Rosa arvensis","Plantae",NA,NA,NA
"Rosa canina","Plantae",NA,NA,NA
"Rosa tomentosa","Plantae",NA,NA,NA
"Rubus caesius","Plantae",NA,NA,NA
"Rubus fruticosus","Plantae",NA,NA,NA
"Rubus idaeus","Plantae",NA,NA,NA
"Rumex acetosa","Plantae",NA,NA,NA
"Rumex acetosella","Plantae",NA,NA,NA
"Rumex conglomeratus","Plantae",NA,NA,NA
"Rumex crispus","Plantae",NA,NA,NA
"Rumex hydrolapathum","Plantae",NA,NA,NA
"Rumex obtusifolius","Plantae",NA,NA,NA
"Rumex sanguineus","Plantae",NA,NA,NA
"Sagina procumbens","Plantae",NA,NA,NA
"Salix caprea","Plantae",NA,NA,NA
"Salix fragilis","Plantae",NA,NA,NA
"Salix purpurea","Plantae",NA,NA,NA
"Salix triandra","Plantae",NA,NA,NA
"Salix viminalis","Plantae",NA,NA,NA
"Sambucus nigra","Plantae",NA,NA,NA
"Sanguisorba minor","Plantae",NA,NA,NA
"Sanicula europaea","Plantae",NA,NA,NA
"Saxifraga tridactylites","Plantae",NA,NA,NA
"Scabiosa columbaria","Plantae",NA,NA,NA
"Schoenoplectus lacustris","Plantae",NA,NA,NA
"Scrophularia auriculata","Plantae",NA,NA,NA
"Scrophularia nodosa","Plantae",NA,NA,NA
"Scrophularia vernalis","Plantae",NA,NA,NA
"Sedum acre","Plantae",NA,NA,NA
"Senecio erucifolius","Plantae",NA,NA,NA
"Senecio jacobaea","Plantae",NA,NA,NA
"Senecio squalidus","Plantae",NA,NA,NA
"Silene dioica","Plantae",NA,NA,NA
"Silene latifolia","Plantae",NA,NA,NA
"Silene vulgaris","Plantae",NA,NA,NA
"Sinapis alba","Plantae",NA,NA,NA
"Sison amomum","Plantae",NA,NA,NA
"Sisymbrium officinale","Plantae",NA,NA,NA
"Solanum dulcamara","Plantae",NA,NA,NA
"Solidago canadensis","Plantae",NA,NA,NA
"Sonchus arvensis","Plantae",NA,NA,NA
"Sonchus asper","Plantae",NA,NA,NA
"Sonchus oleraceus","Plantae",NA,NA,NA
"Sorbus aria","Plantae",NA,NA,NA
"Sorbus aucuparia","Plantae",NA,NA,NA
"Stachys officinalis","Plantae",NA,NA,NA
"Stachys palustris","Plantae",NA,NA,NA
"Stachys sylvatica","Plantae",NA,NA,NA
"Stellaria graminea","Plantae",NA,NA,NA
"Stellaria holostea","Plantae",NA,NA,NA
"Symphoricarpos rivularis","Plantae",NA,NA,NA
"Symphytum officinale","Plantae",NA,NA,NA
"Symphytum uplandicum","Plantae",NA,NA,NA
"Tamus communis","Plantae",NA,NA,NA
"Tanacetum parthenium","Plantae",NA,NA,NA
"Tanacetum vulgare","Plantae",NA,NA,NA
"Taraxacum sp.","Plantae",NA,NA,NA
"Taxus baccata","Plantae",NA,NA,NA
"Thymus polytrichus","Plantae",NA,NA,NA
"Tilia vulgaris","Plantae",NA,NA,NA
"Torilis japonica","Plantae",NA,NA,NA
"Trachystemon orientale","Plantae",NA,NA,NA
"Tragopogon pratensis","Plantae",NA,NA,NA
"Trifolium campestre","Plantae",NA,NA,NA
"Trifolium dubium","Plantae",NA,NA,NA
"Trifolium medium","Plantae",NA,NA,NA
"Trifolium pratense","Plantae",NA,NA,NA
"Trifolium repens","Plantae",NA,NA,NA
"Tripleurospermum inodorum","Plantae",NA,NA,NA
"Trisetum flavescens","Plantae",NA,NA,NA
"Tussilago farfara","Plantae",NA,NA,NA
"Typha latifolia","Plantae",NA,NA,NA
"Ulmus glabra","Plantae",NA,NA,NA
"Urtica dioica","Plantae",NA,NA,NA
"Valerianella dentata","Plantae",NA,NA,NA
"Valerianella locusta","Plantae",NA,NA,NA
"Verbascum nigrum","Plantae",NA,NA,NA
"Verbascum thapsus","Plantae",NA,NA,NA
"Veronica arvensis","Plantae",NA,NA,NA
"Veronica beccabunga","Plantae",NA,NA,NA
"Veronica chamaedrys","Plantae",NA,NA,NA
"Veronica filiformis","Plantae",NA,NA,NA
"Veronica hederifolia","Plantae",NA,NA,NA
"Veronica montana","Plantae",NA,NA,NA
"Veronica officinalis","Plantae",NA,NA,NA
"Veronica serpyllifolia","Plantae",NA,NA,NA
"Viburnum lantana","Plantae",NA,NA,NA
"Viburnum opulus","Plantae",NA,NA,NA
"Vicia cracca","Plantae",NA,NA,NA
"Vicia sepium","Plantae",NA,NA,NA
"Vinca minor","Plantae",NA,NA,NA
"Viola arvensis","Plantae",NA,NA,NA
"Viola hirta","Plantae",NA,NA,NA
"Viola odorata","Plantae",NA,NA,NA
"Viola reichenbachiana","Plantae",NA,NA,NA
"Viola riviniana","Plantae",NA,NA,NA
"Acer pensylvanicum","Plantae",NA,NA,NA
"Acer rubrum","Plantae",NA,NA,NA
"Acer saccharum","Plantae",NA,NA,NA
"Amelanchier canadensis","Plantae",NA,NA,NA
"Aronia sp.","Plantae",NA,NA,NA
"Betula alleghaniensis","Plantae",NA,NA,NA
"Betula lenta","Plantae",NA,NA,NA
"Betula papyrifera","Plantae",NA,NA,NA
"Betula populifolia","Plantae",NA,NA,NA
"Castanea dentata","Plantae",NA,NA,NA
"Cornus alternifolia","Plantae",NA,NA,NA
"Crataegus sp.","Plantae",NA,NA,NA
"Fagus grandifolia","Plantae",NA,NA,NA
"Fraxinus americana","Plantae",NA,NA,NA
"Hamamelis virginiana","Plantae",NA,NA,NA
"Ilex verticillata","Plantae",NA,NA,NA
"Kalmia angustifolia","Plantae",NA,NA,NA
"Kalmia latifolia","Plantae",NA,NA,NA
"Lyonia ligustrina","Plantae",NA,NA,NA
"Nemopanthus mucronata","Plantae",NA,NA,NA
"Nyssa sylvatica","Plantae",NA,NA,NA
"Pinus strobus","Plantae",NA,NA,NA
"Populus tremuloides","Plantae",NA,NA,NA
"Prunus serotina","Plantae",NA,NA,NA
"Quercus alba","Plantae",NA,NA,NA
"Quercus rubra","Plantae",NA,NA,NA
"Quercus velutina","Plantae",NA,NA,NA
"Rhododendron nudiflorum","Plantae",NA,NA,NA
"Sambucus pubens","Plantae",NA,NA,NA
"Tsuga canadensis","Plantae",NA,NA,NA
"Vaccinium corymbosum","Plantae",NA,NA,NA
"Viburnum cassinoides","Plantae",NA,NA,NA
"Viburnum lantanoides","Plantae",NA,NA,NA
"Ulmus pumila","Plantae",NA,NA,NA
"Ulmus americana","Plantae",NA,NA,NA
"Ulmus rubra","Plantae",NA,NA,NA
"Lomatium foeniculaceum","Plantae",NA,NA,NA
"Astragalus crassicarpus","Plantae",NA,NA,NA
"Draba cuneifolia","Plantae",NA,NA,NA
"Viola rafinesquii","Plantae",NA,NA,NA
"Carex meadii","Plantae",NA,NA,NA
"Cercis canadensis","Plantae",NA,NA,NA
"Antennaria neglecta","Plantae",NA,NA,NA
"Hedyotis crassifolia","Plantae",NA,NA,NA
"Prunus americana","Plantae",NA,NA,NA
"Zanthoxylum americanum","Plantae",NA,NA,NA
"Viola pratincola","Plantae",NA,NA,NA
"Corydalis micrantha","Plantae",NA,NA,NA
"Packera plattensis","Plantae",NA,NA,NA
"Celtis occidentalis","Plantae",NA,NA,NA
"Populus deltoides","Plantae",NA,NA,NA
"Ribes missouriense","Plantae",NA,NA,NA
"Quercus muehlenbergii","Plantae",NA,NA,NA
"Phlox divaricata","Plantae",NA,NA,NA
"Viola pedatifida","Plantae",NA,NA,NA
"Lithospermum incisum","Plantae",NA,NA,NA
"Dicentra cucullaria","Plantae",NA,NA,NA
"Erythronium albidum","Plantae",NA,NA,NA
"Ceanothus herbaceus","Plantae",NA,NA,NA
"Astragalus missouriensis","Plantae",NA,NA,NA
"Oxalis violacea","Plantae",NA,NA,NA
"Baptisia bracteata","Plantae",NA,NA,NA
"Aesculus glabra","Plantae",NA,NA,NA
"Glandularia canadensis","Plantae",NA,NA,NA
"Sisyrinchium campestre","Plantae",NA,NA,NA
"Glandularia bipinnatifida","Plantae",NA,NA,NA
"Nasturtium officinale","Plantae",NA,NA,NA
"Nothocalais cuspidata","Plantae",NA,NA,NA
"Rhus aromatica","Plantae",NA,NA,NA
"Quercus macrocarpa","Plantae",NA,NA,NA
"Comandra umbellata","Plantae",NA,NA,NA
"Anemone caroliniana","Plantae",NA,NA,NA
"Erigeron philadelphicus","Plantae",NA,NA,NA
"Baptisia australis","Plantae",NA,NA,NA
"Prunus virginiana","Plantae",NA,NA,NA
"Lonicera maackii","Plantae",NA,NA,NA
"Hymenopappus scabiosaeus","Plantae",NA,NA,NA
"Zygadenus nuttallii","Plantae",NA,NA,NA
"Erigeron strigosus","Plantae",NA,NA,NA
"Erigeron annuus","Plantae",NA,NA,NA
"Pediomelum esculentum","Plantae",NA,NA,NA
"Zizia aurea","Plantae",NA,NA,NA
"Vicia americana","Plantae",NA,NA,NA
"Dichanthelium oligosanthes","Plantae",NA,NA,NA
"Crataegus mollis","Plantae",NA,NA,NA
"Robinia pseudoacacia","Plantae",NA,NA,NA
"Gleditsia triacanthos","Plantae",NA,NA,NA
"Juglans nigra","Plantae",NA,NA,NA
"Callirhoe alcaeoides","Plantae",NA,NA,NA
"Buchloe dactyloides","Plantae",NA,NA,NA
"Celastrus scandens","Plantae",NA,NA,NA
"Rubus occidentalis","Plantae",NA,NA,NA
"Rubus ostryifolius","Plantae",NA,NA,NA
"Psoralidium tenuiflorum","Plantae",NA,NA,NA
"Asclepias viridis","Plantae",NA,NA,NA
"Tradescantia bracteata","Plantae",NA,NA,NA
"Onosmodium molle","Plantae",NA,NA,NA
"Tragopogon dubius","Plantae",NA,NA,NA
"Oenothera macrocarpa","Plantae",NA,NA,NA
"Amorpha fruticosa","Plantae",NA,NA,NA
"Callirhoe involucrata","Plantae",NA,NA,NA
"Hybanthus verticillatus","Plantae",NA,NA,NA
"Evolvulus nuttallianus","Plantae",NA,NA,NA
"Delphinium carolinianum","Plantae",NA,NA,NA
"Escobaria missouriensis","Plantae",NA,NA,NA
"Rosa arkansana","Plantae",NA,NA,NA
"Calystegia macounii","Plantae",NA,NA,NA
"Penstemon cobaea","Plantae",NA,NA,NA
"Penstemon grandiflorus","Plantae",NA,NA,NA
"Mirabilis nyctaginea","Plantae",NA,NA,NA
"Smilax tamnoides","Plantae",NA,NA,NA
"Vitis riparia","Plantae",NA,NA,NA
"Plantago patagonica","Plantae",NA,NA,NA
"Calylophus serrulatus","Plantae",NA,NA,NA
"Yucca glauca","Plantae",NA,NA,NA
"Mimulus glabratus","Plantae",NA,NA,NA
"Triosteum perfoliatum","Plantae",NA,NA,NA
"Physalis virginiana","Plantae",NA,NA,NA
"Physalis pumila","Plantae",NA,NA,NA
"Apocynum cannabinum","Plantae",NA,NA,NA
"Tripsacum dactyloides","Plantae",NA,NA,NA
"Cornus drummondii","Plantae",NA,NA,NA
"Schrankia nuttallii","Plantae",NA,NA,NA
"Physalis heterophylla","Plantae",NA,NA,NA
"Toxicodendron radicans","Plantae",NA,NA,NA
"Asclepias tuberosa","Plantae",NA,NA,NA
"Verbascum blattaria","Plantae",NA,NA,NA
"Allium canadense","Plantae",NA,NA,NA
"Oenothera speciosa","Plantae",NA,NA,NA
"Ruellia humilis","Plantae",NA,NA,NA
"Solanum carolinense","Plantae",NA,NA,NA
"Scutellaria parvula","Plantae",NA,NA,NA
"Triodanus leptocarpa","Plantae",NA,NA,NA
"Ruellia strepens","Plantae",NA,NA,NA
"Verbena bracteata","Plantae",NA,NA,NA
"Verbena stricta","Plantae",NA,NA,NA
"Triodanus perfoliata","Plantae",NA,NA,NA
"Potentilla recta","Plantae",NA,NA,NA
"Linum sulcatum","Plantae",NA,NA,NA
"Grindelia squarrosa","Plantae",NA,NA,NA
"Echinacea angustifolia","Plantae",NA,NA,NA
"Asclepias syriaca","Plantae",NA,NA,NA
"Asclepias stenophylla","Plantae",NA,NA,NA
"Argemone polyanthemos","Plantae",NA,NA,NA
"Polygonatum biflorum","Plantae",NA,NA,NA
"Dianthus armeria","Plantae",NA,NA,NA
"Rhus glabra","Plantae",NA,NA,NA
"Campsis radicans","Plantae",NA,NA,NA
"Asclepias sullivantii","Plantae",NA,NA,NA
"Psoralea argophylla","Plantae",NA,NA,NA
"Sambucus canadensis","Plantae",NA,NA,NA
"Dalea purpurea","Plantae",NA,NA,NA
"Ratibida columnifera","Plantae",NA,NA,NA
"Arnoglossum plantagineum","Plantae",NA,NA,NA
"Cucurbita foetidissima","Plantae",NA,NA,NA
"Hedyotis nigricans","Plantae",NA,NA,NA
"Solanum rostratum","Plantae",NA,NA,NA
"Verbena simplex","Plantae",NA,NA,NA
"Geum canadense","Plantae",NA,NA,NA
"Amorpha canescens","Plantae",NA,NA,NA
"Monarda fistulosa","Plantae",NA,NA,NA
"Opuntia macrorhiza","Plantae",NA,NA,NA
"Lythrum alatum","Plantae",NA,NA,NA
"Potentilla arguta","Plantae",NA,NA,NA
"Stenosiphon linifolius","Plantae",NA,NA,NA
"Cirsium undulatum","Plantae",NA,NA,NA
"Desmodium illinoense","Plantae",NA,NA,NA
"Asclepias verticillata","Plantae",NA,NA,NA
"Pascopyrum smithii","Plantae",NA,NA,NA
"Dalea candida","Plantae",NA,NA,NA
"Silphium laciniatum","Plantae",NA,NA,NA
"Desmodium glutinosum","Plantae",NA,NA,NA
"Helianthus annuus","Plantae",NA,NA,NA
"Desmanthus illinoensis","Plantae",NA,NA,NA
"Teucrium canadense","Plantae",NA,NA,NA
"Elymus canadensis","Plantae",NA,NA,NA
"na na","Plantae",NA,NA,NA
"Commelina erecta","Plantae",NA,NA,NA
"Nepeta cataria","Plantae",NA,NA,NA
"Silphium integrifolium","Plantae",NA,NA,NA
"Verbena urticifolia","Plantae",NA,NA,NA
"Salvia azurea","Plantae",NA,NA,NA
"Asclepias viridiflora","Plantae",NA,NA,NA
"Silene stellata","Plantae",NA,NA,NA
"Gaura mollis","Plantae",NA,NA,NA
"Mirabilis albida","Plantae",NA,NA,NA
"Amphicarpaea bracteata","Plantae",NA,NA,NA
"Croton monanthogynus","Plantae",NA,NA,NA
"Bouteloua curtipendula","Plantae",NA,NA,NA
"Rudbeckia hirta","Plantae",NA,NA,NA
"Clematis pitcheri","Plantae",NA,NA,NA
"Tribulus terrestris","Plantae",NA,NA,NA
"Mentzelia oligosperma","Plantae",NA,NA,NA
"Vernonia baldwinii","Plantae",NA,NA,NA
"Campanulastrum americanum","Plantae",NA,NA,NA
"Dalea multiflora","Plantae",NA,NA,NA
"Hieracium longipilum","Plantae",NA,NA,NA
"Chrysopsis canescens","Plantae",NA,NA,NA
"Agrimonia pubescens","Plantae",NA,NA,NA
"Solidago missouriensis","Plantae",NA,NA,NA
"Euphorbia marginata","Plantae",NA,NA,NA
"Helianthus tuberosus","Plantae",NA,NA,NA
"Bouteloua hirsuta","Plantae",NA,NA,NA
"Phytolacca americana","Plantae",NA,NA,NA
"Bouteloua gracilis","Plantae",NA,NA,NA
"Spartina pectinata","Plantae",NA,NA,NA
"Dyssodia papposa","Plantae",NA,NA,NA
"Spiranthes vernalis","Plantae",NA,NA,NA
"Croton capitatus","Plantae",NA,NA,NA
"Helianthus hirsutus","Plantae",NA,NA,NA
"Symphoricarpos orbiculatus","Plantae",NA,NA,NA
"Euphorbia corollata","Plantae",NA,NA,NA
"Cirsium altissimum","Plantae",NA,NA,NA
"Kuhnia eupatorioides","Plantae",NA,NA,NA
"Lycopus americanus","Plantae",NA,NA,NA
"Desmodium canescens","Plantae",NA,NA,NA
"Desmodium paniculatum","Plantae",NA,NA,NA
"Desmodium sessilifolium","Plantae",NA,NA,NA
"Cassia marilandica","Plantae",NA,NA,NA
"Cassia chamaecrista","Plantae",NA,NA,NA
"Verbesina alternifolia","Plantae",NA,NA,NA
"Andropogon gerardii","Plantae",NA,NA,NA
"Panicum virgatum","Plantae",NA,NA,NA
"Liatris aspera","Plantae",NA,NA,NA
"Helianthus maximiliani","Plantae",NA,NA,NA
"Eupatorium rugosum","Plantae",NA,NA,NA
"Oenothera biennis","Plantae",NA,NA,NA
"Lespedeza capitata","Plantae",NA,NA,NA
"Tridens flavus","Plantae",NA,NA,NA
"Eupatorium altissimum","Plantae",NA,NA,NA
"Liatris mucronata","Plantae",NA,NA,NA
"Gaura longiflora","Plantae",NA,NA,NA
"Sorghastrum nutrans","Plantae",NA,NA,NA
"Solidago rigida","Plantae",NA,NA,NA
"Allium stellatum","Plantae",NA,NA,NA
"Andropogon scoparius","Plantae",NA,NA,NA
"Heliopsis helianthoides","Plantae",NA,NA,NA
"Helianthus rigidus","Plantae",NA,NA,NA
"Agalinis densiflora","Plantae",NA,NA,NA
"Agalinis aspera","Plantae",NA,NA,NA
"Symphyotrichum ericoides","Plantae",NA,NA,NA
"Solidago speciosa","Plantae",NA,NA,NA
"Symphyotrichum drummondii","Plantae",NA,NA,NA
"Amphiachyris dracunculoides","Plantae",NA,NA,NA
"Lobelia cardinalis","Plantae",NA,NA,NA
"Symphyotrichum laeve","Plantae",NA,NA,NA
"Lobelia siphilitica","Plantae",NA,NA,NA
"Symphyotrichum oblongifolium","Plantae",NA,NA,NA
"Symphyotrichum sericeum","Plantae",NA,NA,NA
"Gnaphalium obtusifolium","Plantae",NA,NA,NA
"Symphyotrichum pilosum","Plantae",NA,NA,NA
"Spiranthes cernua","Plantae",NA,NA,NA
"Juniperus virginiana","Plantae",NA,NA,NA
"Tradescantia ohiensis","Plantae",NA,NA,NA
"Penstemon tubaeflorus","Plantae",NA,NA,NA
"Spermolepis inermis","Plantae",NA,NA,NA
"Hibiscus trionum","Plantae",NA,NA,NA
"Oenothera laciniata","Plantae",NA,NA,NA
"Symphyotrichum lanceolatum","Plantae",NA,NA,NA
"Liatris punctata","Plantae",NA,NA,NA
"Gentiana puberulenta","Plantae",NA,NA,NA
"Alchornea latifolia","Plantae",NA,NA,NA
"Alchorneopsis floribunda","Plantae",NA,NA,NA
"Andira inermis","Plantae",NA,NA,NA
"Buchenavia capitata","Plantae",NA,NA,NA
"Byrsonima spicata","Plantae",NA,NA,NA
"Casearia arborea","Plantae",NA,NA,NA
"Casearia sylvestris","Plantae",NA,NA,NA
"Cassipourea guianensis","Plantae",NA,NA,NA
"Cecropia schreberiana","Plantae",NA,NA,NA
"Chionanthus domingensis","Plantae",NA,NA,NA
"Cissampelos pareira","Plantae",NA,NA,NA
"Cissus sicyoides","Plantae",NA,NA,NA
"Clibadium erosum","Plantae",NA,NA,NA
"Clusia gundlachii","Plantae",NA,NA,NA
"Clusia rosea","Plantae",NA,NA,NA
"Coccoloba pyrifolia","Plantae",NA,NA,NA
"Cordia borinquensis","Plantae",NA,NA,NA
"Cordia sulcata","Plantae",NA,NA,NA
"Croton poecilanthus","Plantae",NA,NA,NA
"Dacryodes excelsa","Plantae",NA,NA,NA
"Daphnopsis philippiana","Plantae",NA,NA,NA
"Dendropanax arboreus","Plantae",NA,NA,NA
"Dioscorea polygonoides","Plantae",NA,NA,NA
"Drypetes glauca","Plantae",NA,NA,NA
"Eugenia domingensis","Plantae",NA,NA,NA
"Eugenia stahlii","Plantae",NA,NA,NA
"Faramea occidentalis","Plantae",NA,NA,NA
"Ficus trigonata","Plantae",NA,NA,NA
"Forsteronia portoricensis","Plantae",NA,NA,NA
"Gonzalagunia spicata","Plantae",NA,NA,NA
"Guarea glabra","Plantae",NA,NA,NA
"Guarea guidonia","Plantae",NA,NA,NA
"Guatteria caribaea","Plantae",NA,NA,NA
"Guettarda valenzuelana","Plantae",NA,NA,NA
"Heteropteris laurifolia","Plantae",NA,NA,NA
"Heterotrichum cymosum","Plantae",NA,NA,NA
"Hippocratea volubilis","Plantae",NA,NA,NA
"Hirtella rugosa","Plantae",NA,NA,NA
"Homalium racemosum","Plantae",NA,NA,NA
"Inga laurina","Plantae",NA,NA,NA
"Inga vera","Plantae",NA,NA,NA
"Ipomoea setifera","Plantae",NA,NA,NA
"Ipomoea tiliacea","Plantae",NA,NA,NA
"Ixora ferrea","Plantae",NA,NA,NA
"Laetia procera","Plantae",NA,NA,NA
"Macfadyena unguis-cati","Plantae",NA,NA,NA
"Manilkara bidentata","Plantae",NA,NA,NA
"Marcgravia rectiflora","Plantae",NA,NA,NA
"Margaritaria nobilis","Plantae",NA,NA,NA
"Matayba domingensis","Plantae",NA,NA,NA
"Miconia racemosa","Plantae",NA,NA,NA
"Miconia tetrandra","Plantae",NA,NA,NA
"Mikania fragilis","Plantae",NA,NA,NA
"Myrcia deflexa","Plantae",NA,NA,NA
"Myrcia leptoclada","Plantae",NA,NA,NA
"Myrcia splendens","Plantae",NA,NA,NA
"NA sp.","Plantae",NA,NA,NA
"Neorudolphia volubilis","Plantae",NA,NA,NA
"Ocotea leucoxylon","Plantae",NA,NA,NA
"Ocotea sintenisii","Plantae",NA,NA,NA
"Ormosia krugii","Plantae",NA,NA,NA
"Oxandra laurifolia","Plantae",NA,NA,NA
"Palicourea riparia","Plantae",NA,NA,NA
"Paullinia pinnata","Plantae",NA,NA,NA
"Phoradendron piperoides","Plantae",NA,NA,NA
"Phytolacca rivinoides","Plantae",NA,NA,NA
"Piper glabrescens","Plantae",NA,NA,NA
"Pisonia subcordata","Plantae",NA,NA,NA
"Polypodium piloselloides2","Plantae",NA,NA,NA
"Prestoea montana","Plantae",NA,NA,NA
"Psychotria berteriana","Plantae",NA,NA,NA
"Psychotria brachiata","Plantae",NA,NA,NA
"Rourea surinamensis","Plantae",NA,NA,NA
"Roystonea borinquena","Plantae",NA,NA,NA
"Samyda spinulosa","Plantae",NA,NA,NA
"Sapium laurocerasum","Plantae",NA,NA,NA
"Schefflera morototoni","Plantae",NA,NA,NA
"Schlegelia brachyantha","Plantae",NA,NA,NA
"Securidaca virgata","Plantae",NA,NA,NA
"Sloanea berteriana","Plantae",NA,NA,NA
"Smilax domingensis","Plantae",NA,NA,NA
"Tabebuia heterophylla","Plantae",NA,NA,NA
"Tetragastris balsamifera","Plantae",NA,NA,NA
"Trichilia pallida","Plantae",NA,NA,NA
"Vitex divaricata","Plantae",NA,NA,NA
"Zanthoxylum martinicense","Plantae",NA,NA,NA
"Bistorta bistortoides","Plantae",NA,NA,NA
"Bistorta vivipara","Plantae",NA,NA,NA
"Geum rossii","Plantae",NA,NA,NA
"Acalypha neomexicana","Plantae",NA,NA,NA
"Acourtia nana","Plantae",NA,NA,NA
"Allionia incarnata","Plantae",NA,NA,NA
"Allium macropetalum","Plantae",NA,NA,NA
"Amaranthus albus","Plantae",NA,NA,NA
"Amaranthus palmeri","Plantae",NA,NA,NA
"Aphanostephus ramosissimus","Plantae",NA,NA,NA
"Aristida adscensionis","Plantae",NA,NA,NA
"Aristida divaricata","Plantae",NA,NA,NA
"Aristida purpurea","Plantae",NA,NA,NA
"Artemisia ludoviciana","Plantae",NA,NA,NA
"Asclepias involucrata","Plantae",NA,NA,NA
"Astragalus nuttallianus","Plantae",NA,NA,NA
"Atriplex canescens","Plantae",NA,NA,NA
"Baccharis wrightii","Plantae",NA,NA,NA
"Baileya multiradiata","Plantae",NA,NA,NA
"Berlandiera lyrata","Plantae",NA,NA,NA
"Boerhavia spicata","Plantae",NA,NA,NA
"Bouteloua barbata","Plantae",NA,NA,NA
"Bouteloua eriopoda","Plantae",NA,NA,NA
"Brickellia eupatorioides","Plantae",NA,NA,NA
"Caesalpinia drepanocarpa","Plantae",NA,NA,NA
"Caesalpinia jamesii","Plantae",NA,NA,NA
"Calylophus hartwegii","Plantae",NA,NA,NA
"Chaetopappa ericoides","Plantae",NA,NA,NA
"Chamaesaracha coniodes","Plantae",NA,NA,NA
"Chamaesaracha coronopus","Plantae",NA,NA,NA
"Chamaesyce albomarginata","Plantae",NA,NA,NA
"Chamaesyce fendleri","Plantae",NA,NA,NA
"Chamaesyce revoluta","Plantae",NA,NA,NA
"Chamaesyce serpyllifolia","Plantae",NA,NA,NA
"Chamaesyce serrula","Plantae",NA,NA,NA
"Chenopodium incanum","Plantae",NA,NA,NA
"Cirsium neomexicanum","Plantae",NA,NA,NA
"Convolvulus equitans","Plantae",NA,NA,NA
"Cryptantha crassisepala","Plantae",NA,NA,NA
"Cymopterus acaulis","Plantae",NA,NA,NA
"Echinocereus coccineus","Plantae",NA,NA,NA
"Elymus elymoides","Plantae",NA,NA,NA
"Enneapogon desvauxii","Plantae",NA,NA,NA
"Ephedra torreyana","Plantae",NA,NA,NA
"Erigeron flagellaris","Plantae",NA,NA,NA
"Eriogonum abertianum","Plantae",NA,NA,NA
"Eriogonum wrightii","Plantae",NA,NA,NA
"Escobaria vivipara","Plantae",NA,NA,NA
"Euphorbia exstipulata","Plantae",NA,NA,NA
"Gaillardia pinnatifida","Plantae",NA,NA,NA
"Gaura coccinea","Plantae",NA,NA,NA
"Gaura suffulta","Plantae",NA,NA,NA
"Gutierrezia sarothrae","Plantae",NA,NA,NA
"Hoffmannseggia glauca","Plantae",NA,NA,NA
"Houstonia rubra","Plantae",NA,NA,NA
"Hymenopappus filifolius","Plantae",NA,NA,NA
"Ipomoea costellata","Plantae",NA,NA,NA
"Ipomopsis pumila","Plantae",NA,NA,NA
"Kallstroemia parviflora","Plantae",NA,NA,NA
"Krascheninnikovia lanata","Plantae",NA,NA,NA
"Laennecia coulteri","Plantae",NA,NA,NA
"Lappula occidentalis","Plantae",NA,NA,NA
"Larrea tridentata","Plantae",NA,NA,NA
"Lepidium densiflorum","Plantae",NA,NA,NA
"Lesquerella fendleri","Plantae",NA,NA,NA
"Linum puberulum","Plantae",NA,NA,NA
"Lycium pallidum","Plantae",NA,NA,NA
"Machaeranthera gracilis","Plantae",NA,NA,NA
"Machaeranthera pinnatifida","Plantae",NA,NA,NA
"Machaeranthera tanacetifolia","Plantae",NA,NA,NA
"Malacothrix fendleri","Plantae",NA,NA,NA
"Melampodium leucanthum","Plantae",NA,NA,NA
"Mirabilis linearis","Plantae",NA,NA,NA
